classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,wine,cs,0.002,0.155,0.092,0.846,3.4,0.262,12.177
svc,wine,cs,0.003,0.378,0.315,0.621,4.0,0.308,8.746
knn,wine,ga,0.003,0.31,0.296,0.689,3.4,0.262,15.129
svc,wine,ga,0.249,0.424,0.201,0.575,4.0,0.308,11.01
knn,wine,ba,0.003,0.159,0.101,0.843,4.6,0.354,16.891
svc,wine,ba,0.003,0.351,0.275,0.65,5.6,0.431,11.84
knn,wine,gwo,0.002,0.186,0.181,0.814,2.8,0.215,32.377
svc,wine,gwo,0.002,0.526,0.336,0.471,3.0,0.231,23.434
knn,wine,abco,0.002,0.162,0.1,0.839,4.2,0.323,55.36
svc,wine,abco,0.374,0.637,0.175,0.361,5.2,0.4,39.994
knn,breast-cancer,fa,0.253,0.32,0.061,0.683,5.6,0.622,1.518
svc,breast-cancer,fa,0.169,0.268,0.062,0.733,3.8,0.422,1.809
knn,breast-cancer,goa,0.169,0.334,0.214,0.667,4.0,0.444,10.214
svc,breast-cancer,goa,0.168,0.284,0.066,0.717,3.6,0.4,8.081
knn,breast-cancer,woa,0.333,0.399,0.061,0.6,3.0,0.333,10.255
svc,breast-cancer,woa,0.166,0.299,0.099,0.7,2.0,0.222,7.933
knn,breast-cancer,pso,0.172,0.384,0.161,0.617,4.4,0.489,10.066
svc,breast-cancer,pso,0.085,0.284,0.134,0.717,3.6,0.4,7.335
knn,breast-cancer,aco,0.085,0.447,0.307,0.55,1.6,0.178,10.373
svc,breast-cancer,aco,0.085,0.268,0.169,0.733,3.4,0.378,7.298
knn,breast-cancer,de,0.171,0.285,0.097,0.717,4.2,0.467,10.183
svc,breast-cancer,de,0.167,0.317,0.132,0.683,3.2,0.356,7.969
knn,breast-cancer,da,0.167,0.317,0.122,0.683,3.0,0.333,10.671
svc,breast-cancer,da,0.25,0.317,0.062,0.683,2.8,0.311,8.3
knn,breast-cancer,cs,0.09,0.253,0.116,0.75,5.0,0.556,14.009
svc,breast-cancer,cs,0.332,0.416,0.075,0.583,3.2,0.356,10.999
knn,breast-cancer,ga,0.254,0.417,0.137,0.583,4.4,0.489,17.637
svc,breast-cancer,ga,0.25,0.333,0.104,0.667,2.6,0.289,13.283
knn,breast-cancer,ba,0.169,0.335,0.104,0.667,4.4,0.489,19.709
svc,breast-cancer,ba,0.25,0.334,0.054,0.667,3.4,0.378,15.234
knn,breast-cancer,gwo,0.251,0.367,0.099,0.633,4.0,0.444,34.68
svc,breast-cancer,gwo,0.168,0.35,0.109,0.65,2.8,0.311,25.849
knn,breast-cancer,abco,0.252,0.351,0.061,0.65,4.0,0.444,63.51
svc,breast-cancer,abco,0.25,0.35,0.097,0.65,3.2,0.356,50.071
