classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
svc,sonar,abco,0.334,0.444,0.069,0.556,26.8,0.447,56.067
knn,wdbc,fa,0.052,0.078,0.052,0.93,27.6,0.92,0.846
svc,wdbc,fa,0.009,0.095,0.061,0.913,27.4,0.913,1.141
knn,wdbc,de,0.003,0.055,0.033,0.948,9.0,0.3,5.582
svc,wdbc,de,0.045,0.079,0.032,0.922,5.4,0.18,10.606
knn,wdbc,goa,0.052,0.07,0.021,0.939,28.4,0.947,7.061
svc,wdbc,goa,0.01,0.078,0.044,0.93,27.6,0.92,11.891
knn,wdbc,pso,0.046,0.099,0.05,0.904,13.6,0.453,5.953
svc,wdbc,pso,0.003,0.09,0.072,0.913,11.0,0.367,11.219
knn,wdbc,woa,0.044,0.087,0.039,0.913,3.2,0.107,7.097
svc,wdbc,woa,0.044,0.113,0.058,0.887,2.2,0.073,12.352
knn,wdbc,da,0.052,0.112,0.064,0.896,26.8,0.893,6.573
svc,wdbc,da,0.052,0.121,0.034,0.887,26.8,0.893,12.358
knn,wdbc,cs,0.045,0.105,0.044,0.896,5.8,0.193,8.455
svc,wdbc,cs,0.044,0.096,0.064,0.904,4.4,0.147,18.618
knn,wdbc,ba,0.053,0.111,0.043,0.896,22.6,0.753,10.927
svc,wdbc,ba,0.046,0.091,0.047,0.913,15.0,0.5,21.829
knn,wdbc,gwo,0.044,0.087,0.027,0.913,4.2,0.14,23.188
svc,wdbc,gwo,0.044,0.087,0.047,0.913,2.8,0.093,46.729
knn,wdbc,abco,0.003,0.141,0.079,0.861,11.2,0.373,36.718
svc,wdbc,abco,0.003,0.064,0.052,0.939,11.4,0.38,71.867
knn,breast-cancer,fa,0.09,0.273,0.11,0.733,8.4,0.933,1.187
svc,breast-cancer,fa,0.255,0.355,0.062,0.65,7.4,0.822,0.865
knn,breast-cancer,woa,0.173,0.336,0.137,0.667,5.6,0.622,10.283
svc,breast-cancer,woa,0.086,0.266,0.121,0.733,1.8,0.2,7.382
knn,breast-cancer,goa,0.174,0.257,0.074,0.75,8.6,0.956,10.402
svc,breast-cancer,goa,0.092,0.323,0.142,0.683,8.4,0.933,8.071
knn,breast-cancer,pso,0.255,0.353,0.062,0.65,6.0,0.667,9.892
svc,breast-cancer,pso,0.251,0.268,0.033,0.733,3.6,0.4,7.282
knn,breast-cancer,de,0.254,0.402,0.108,0.6,5.0,0.556,10.054
svc,breast-cancer,de,0.167,0.252,0.105,0.75,4.2,0.467,7.534
knn,breast-cancer,da,0.173,0.256,0.052,0.75,7.4,0.822,10.904
svc,breast-cancer,da,0.168,0.352,0.097,0.65,5.4,0.6,8.543
